4.8	3.0	1.4	0.1	1
4.8	3.4	1.9	0.2	1
4.8	3.1	1.6	0.2	1
4.8	3.0	1.4	0.3	1
4.7	3.2	1.3	0.2	1
4.7	3.2	1.6	0.2	1
4.6	3.1	1.5	0.2	1
4.6	3.4	1.4	0.3	1
4.6	3.6	1.0	0.2	1
4.6	3.2	1.4	0.2	1
4.5	2.3	1.3	0.3	1
4.4	2.9	1.4	0.2	1
4.4	3.0	1.3	0.2	1
4.4	3.2	1.3	0.2	1
4.3	3.0	1.1	0.1	1
5.6	3.0	4.5	1.5	2
5.6	2.5	3.9	1.1	2
5.6	3.0	4.1	1.3	2
5.6	2.7	4.2	1.3	2
5.5	2.3	4.0	1.3	2
5.5	2.4	3.8	1.1	2
5.5	2.4	3.7	1.0	2
5.5	2.5	4.0	1.3	2
5.5	2.6	4.4	1.2	2
5.4	3.0	4.5	1.5	2
5.2	2.7	3.9	1.4	2
5.1	2.5	3.0	1.1	2
5.0	2.0	3.5	1.0	2
5.0	2.3	3.3	1.0	2
4.9	2.4	3.3	1.0	2
6.3	3.4	5.6	2.4	3
6.3	2.5	5.0	1.9	3
6.2	2.8	4.8	1.8	3
6.2	3.4	5.4	2.3	3
6.1	3.0	4.9	1.8	3
6.1	2.6	5.6	1.4	3
6.0	2.2	5.0	1.5	3
6.0	3.0	4.8	1.8	3
5.9	3.0	5.1	1.8	3
5.8	2.7	5.1	1.9	3
5.8	2.8	5.1	2.4	3
5.8	2.7	5.1	1.9	3
5.7	2.5	5.0	2.0	3
5.6	2.8	4.9	2.0	3
4.9	2.5	4.5	1.7	3
